id,alpha,beta,mu_c,characteristic_time,emotion_bias,racial_bias,distractor_bias,emotion_amplification_bias,tau,X^2,bic
2.0,0.13068325598875752,0.40999312071027827,0.23126719835799003,0.08889959173201561,0.26938128143977724,-0.3340309010313598,-0.3510653790439408,0.15264295811343945,0.44597857954837217,869.3535284361653,8981.93677669953
4.0,0.18033937815108983,0.3841440300948875,0.09428167025993589,0.3545890133701338,0.18768972420521055,0.07289534522453828,0.35875931342058387,-0.37424669649073866,0.44330423430128635,538.1935602883106,7921.946629808471
5.0,0.12580165725285483,0.4929789652249937,0.18910598373522314,0.3743404498903241,0.04669464523602499,0.25350756574859223,0.242756499643615,-0.29155001045876744,0.39940887301995515,748.5329255414654,8274.371065249476
6.0,0.15592839395640215,0.6627382888242068,0.1344436011755865,0.05789852959272547,0.11906462533881407,-0.13980107003247855,-0.0837346664337788,0.11262322339837469,0.4499382060670726,945.4298475711752,8915.41148735821
7.0,0.12449985273588184,0.3944652377754022,0.20920930969851365,0.6896399801549491,-0.1599057378771931,0.08708912291563684,-0.07940867609658672,0.1396483647248419,0.4477398233762901,927.5002382031643,8649.513457199775
8.0,0.1394475860440205,0.3775810483139407,0.16847049444942208,0.5731798883307304,-0.09921821469503649,0.08446309452781489,0.031023225524678524,-0.0745029000306164,0.4348133040750224,820.9422649773343,8674.937827208772
13.0,0.13475403530333596,0.6042058945556187,0.12883271596447946,0.47840911197395475,0.20259668130343417,0.18248092246700257,0.29667250009069823,-0.37484131614804045,0.4483680915187397,905.8726464471845,8627.518661126538
14.0,0.20042591915783367,0.38867230499160843,0.17601580129743327,0.7782309332711039,-0.16893568854371843,0.06400702975494142,0.1098191296824367,-0.05232843921040225,0.4405280143043819,903.9650199797197,8476.51663453854
15.0,0.16387074898350007,0.491402780676166,0.16286315836357235,0.08303883817949076,0.3639894270364447,-0.07705578996334413,0.13278078239981145,-0.05180181219619679,0.4392222533103122,912.5173907474007,8513.860649927137
16.0,0.1887120047086027,0.31951672664579356,0.07776762376130758,0.3341523255355262,0.26178442418945647,-0.004462016689748953,0.2955581278246635,-0.37688934386326695,0.44710283066178447,1078.3993407284256,8856.038254682055
18.0,0.16093592134825097,0.48975721591832766,0.1594782206756934,0.048109946830423855,-0.3228118103137489,0.06092706530102518,-0.1906059696161434,-0.15324523986314176,0.4486513931428038,917.9083481958862,8613.391987021567
19.0,0.14586229454690836,0.5126390519836774,0.1514026513718172,0.08368757226010043,0.1371763167944902,-0.09591738451401474,-0.3597909834336556,0.10620889079574948,0.4446385500447254,732.2040511662092,9058.144427049241
