id,alpha,beta,characteristic_time,emotion_bias,racial_bias,distractor_bias,emotion_amplification_bias,eta,eta_r,tau,X^2,bic
2.0,0.3227134610169914,0.3212253614397972,0.21871312233273066,0.24669315476599155,-0.1728810180631271,-0.03932217382409245,-0.0077056172982436,0.24978253981440962,-2.9214332366353815,0.4464097769565405,741.7812402893368,8859.885949470563
4.0,0.35687144078843774,0.5536860024162005,0.8810899545179535,0.2253891723569616,-0.12945373022005097,0.3547714208887962,-0.23741405960468942,0.17120494802022512,-2.308161819138353,0.44359870099080956,405.21531036437744,7794.489840802398
5.0,0.2628616527948233,0.381068001866559,0.3223836908097715,0.13021967596731773,0.20434455600664214,0.24799474845410635,-0.3555678235147555,0.22825283786831158,-3.9154456576488608,0.39026415445154483,565.2170642372247,8096.576664863099
6.0,0.3735276101166749,0.6696455544006769,0.21671109932131993,0.01702107552645467,-0.07331939909538174,-0.3096476072206451,0.2216748991137371,0.33648220177616106,-0.7478124153437443,0.4486416465260471,633.985936150719,8609.48903685561
7.0,0.2814417026550443,0.3846232553636755,0.5506131376799321,-0.10534590961093213,-0.09502633254747979,0.37808052967590855,0.13659710074518103,0.16933823508594442,-3.2997276902109682,0.41189451140913835,518.1760757749043,8245.710755689375
8.0,0.37496092179021656,0.3191006963714931,0.6897782395721725,-0.2741001520276908,-0.005593519046603002,0.24632331956354983,0.2010468790479758,0.2908124179835916,-1.5689014965394645,0.43371819123200595,802.1302613926475,8661.647284541945
13.0,0.3437729773224878,0.3661080427777487,0.8380766730048168,-0.12453618259605542,0.025548242835108516,0.37019939579422523,-0.3538637967329292,0.18570442936168347,-2.728076330983181,0.33893595566834067,757.1872594951691,8484.35473509239
14.0,0.37748168644509295,0.37497841584617253,0.2231214237694316,-0.12674807729010715,0.016331892237895964,-0.3799999999999999,0.35564723905920087,0.09091810503994613,-2.061602609334918,0.3907954438618916,731.3495978094774,8309.422673286159
15.0,0.37868914097330103,0.4114020080653142,0.8475154350644513,-0.2613211916477855,0.0036430348503937804,0.024757035187032678,-0.1252049065872491,0.21497294152314805,-1.9967440891597776,0.4106893494356197,582.8137227710171,8189.678442868619
16.0,0.3671369266505905,0.4278868688703166,0.2864513470033442,-0.016065940080542115,-0.011354011268145305,-0.23783136805248273,0.2114267181690448,0.06475318417179748,-4.013051020584743,0.44652715543196386,593.7863156390656,8376.946690510556
18.0,0.36326289290109604,0.3401798768495555,0.7100033368441838,-0.3743002938522974,0.16937256113883342,-0.13703113868938924,0.0033412781001652416,0.1895129175797392,-2.544574840388532,0.4408551128653042,499.74500952176976,8200.75010926531
19.0,0.37535913079657923,0.584519993234066,0.24880703841345625,-0.0923288206941144,-0.04393326075795168,-0.3777492797469226,0.35601087720490376,0.3437090320732079,-0.8613793866431568,0.4300955205636441,536.6799629765981,8868.141799777493
20.0,0.328146927367989,0.34388235798436606,0.9624809917994392,-0.37041205281788114,-0.03298054089699051,0.13377820662835982,-0.1153528001938969,0.38234817716684555,-0.5656338226622282,0.43129690716707686,734.6976296433875,8985.360189638068
